,design,m,n,P,gamma,method,coverage,bias,model
1,CCD,2,13,0.75,0.95,APS,0.9633,0.0133,Main
2,CCD,2,13,0.9,0.95,APS,0.9654,0.0154,Main
3,CCD,2,13,0.95,0.95,APS,0.9652,0.0152,Main
4,CCD,2,13,0.75,0.95,APS,0.9802,0.0302,Quadratic
5,CCD,2,13,0.9,0.95,APS,0.9781,0.0281,Quadratic
6,CCD,2,13,0.95,0.95,APS,0.9771,0.0271,Quadratic
7,CCD,2,13,0.75,0.95,APS,0.969,0.019,Interaction
8,CCD,2,13,0.9,0.95,APS,0.9689,0.0189,Interaction
9,CCD,2,13,0.95,0.95,APS,0.9689,0.0189,Interaction
10,CCD,2,13,0.75,0.95,APS,0.9844,0.0344,Full
11,CCD,2,13,0.9,0.95,APS,0.9817,0.0317,Full
12,CCD,2,13,0.95,0.95,APS,0.98,0.03,Full
13,CCD,2,13,0.75,0.9,APS,0.9172,0.0172,Main
14,CCD,2,13,0.9,0.9,APS,0.9212,0.0212,Main
15,CCD,2,13,0.95,0.9,APS,0.9218,0.0218,Main
16,CCD,2,13,0.75,0.9,APS,0.9562,0.0562,Quadratic
17,CCD,2,13,0.9,0.9,APS,0.9521,0.0521,Quadratic
18,CCD,2,13,0.95,0.9,APS,0.9491,0.0491,Quadratic
19,CCD,2,13,0.75,0.9,APS,0.9314,0.0314,Interaction
20,CCD,2,13,0.9,0.9,APS,0.9323,0.0323,Interaction
21,CCD,2,13,0.95,0.9,APS,0.9309,0.0309,Interaction
22,CCD,2,13,0.75,0.9,APS,0.964,0.064,Full
23,CCD,2,13,0.9,0.9,APS,0.9581,0.0581,Full
24,CCD,2,13,0.95,0.9,APS,0.954,0.054,Full
25,CCD,2,13,0.75,0.8,APS,0.817,0.017,Main
26,CCD,2,13,0.9,0.8,APS,0.8203,0.0203,Main
27,CCD,2,13,0.95,0.8,APS,0.822,0.022,Main
28,CCD,2,13,0.75,0.8,APS,0.8993,0.0993,Quadratic
29,CCD,2,13,0.9,0.8,APS,0.8889,0.0889,Quadratic
