"CD3" "CD5" "CD19"
171 387 118
153 540 181
285 510 247
137 468 90
414 84 493
184 524 115
385 97 425
236 454 233
110 516 87
430 219 426
452 73 484
385 245 336
253 521 227
260 235 418
237 497 229
249 123 392
245 492 210
259 543 235
292 150 427
99 462 124
106 380 118
196 528 188
144 453 132
68 438 98
230 497 196
385 288 491
425 79 463
438 74 423
302 276 355
153 455 103
350 425 150
355 268 282
266 194 144
145 455 113
221 519 190
327 182 461
318 652 317
149 455 184
116 456 151
267 411 263
531 123 480
277 493 228
171 526 155
126 445 93
243 552 202
196 483 140
364 135 524
253 518 243
230 134 447
156 439 201
270 467 237
308 226 211
355 78 406
216 507 118
121 543 130
229 457 188
482 498 599
439 302 468
179 494 99
335 501 261
245 460 218
269 148 420
385 96 400
361 169 339
212 513 205
245 437 241
215 552 186
137 500 3
503 237 432
481 94 462
206 527 165
191 411 148
256 96 436
214 443 96
54 453 80
181 467 176
408 392 526
467 194 395
280 142 490
300 491 262
138 440 128
234 460 207
313 90 436
324 68 426
143 465 122
175 447 116
430 115 329
502 78 440
263 480 220
125 502 81
403 281 509
201 400 197
155 518 169
318 152 419
401 360 476
222 376 179
184 464 128
151 322 153
349 613 346
415 81 470
307 503 277
209 509 190
320 117 401
167 509 196
255 510 206
216 489 179
528 91 452
195 558 197
316 165 323
161 370 157
223 434 214
356 185 440
161 406 56
189 452 168
240 532 217
1 190 111
169 464 153
262 178 440
296 551 293
147 402 120
174 509 157
190 455 86
147 557 60
322 479 342
305 168 431
390 282 318
228 370 170
212 456 173
473 145 508
215 472 179
138 456 135
219 459 190
132 468 16
238 509 228
69 387 126
310 140 380
105 480 117
144 235 164
191 476 226
445 80 421
262 442 233
429 205 471
208 486 249
299 488 278
400 343 344
399 36 415
334 88 475
215 496 174
175 561 48
341 154 478
167 407 181
393 217 553
167 530 179
417 175 513
493 94 435
394 604 349
346 127 449
257 516 212
286 5 449
379 283 506
228 467 168
326 152 375
165 513 193
236 475 243
243 470 227
284 558 244
235 416 176
138 414 117
250 528 218
328 211 367
610 258 477
227 496 193
204 452 186
600 273 507
472 173 463
317 98 374
371 40 396
187 467 133
517 359 424
232 505 174
283 537 307
480 203 478
269 466 225
448 49 450
178 448 110
383 195 447
345 383 267
245 543 231
319 141 295
190 409 151
233 413 215
349 292 280
409 52 462
252 495 135
317 140 322
264 487 233
191 450 184
154 489 136
303 571 304
169 446 21
189 467 195
121 395 113
258 134 462
288 42 456
185 413 165
322 590 294
439 154 466
514 123 441
132 467 145
399 178 400
291 555 223
241 361 76
109 408 133
280 581 265
186 458 174
192 498 165
306 513 286
184 483 204
459 134 462
341 124 467
258 588 249
232 471 185
437 104 425
88 383 67
210 542 164
285 452 228
290 66 277
319 222 438
226 386 236
222 397 192
554 220 445
142 464 14
335 67 378
154 405 87
222 470 195
240 401 182
88 475 170
252 535 223
221 454 168
224 384 136
75 463 154
194 450 152
360 161 445
437 38 459
339 57 374
103 353 74
428 76 486
402 47 421
412 128 587
253 532 252
271 519 273
136 399 149
313 561 285
239 523 226
439 105 386
57 457 107
292 329 400
347 122 350
18 541 157
227 453 216
76 436 88
288 404 256
201 472 204
220 518 258
270 516 268
159 434 164
145 344 37
288 132 405
167 411 19
124 447 120
437 139 523
82 477 125
440 190 397
274 41 362
106 391 56
155 523 103
241 473 164
167 382 107
310 4 414
306 194 376
231 530 150
47 210 469
207 560 247
548 256 426
347 54 445
235 464 240
217 490 208
238 501 192
384 120 388
370 208 478
285 487 282
305 502 228
238 509 212
216 463 195
136 533 98
470 178 499
470 109 432
21 423 58
289 72 481
128 69 128
322 557 291
123 454 141
350 218 349
260 452 252
352 132 454
276 530 233
159 479 176
171 518 194
331 333 456
477 150 436
143 451 154
356 187 252
492 477 535
187 371 175
153 514 82
101 424 32
392 121 408
275 530 272
430 112 448
