Si IV 1394 data	
-249.737	0.893
-244.871	0.969
-240.019	0.973
-235.128	0.921
-230.262	1.001
-225.410	1.031
-220.544	1.019
-215.692	1.111
-210.826	0.882
-205.961	1.008
-201.108	0.981
-196.243	0.947
-191.391	1.046
-186.525	0.925
-181.673	0.951
-176.807	0.997
-171.955	0.986
-167.089	1.018
-162.237	0.999
-157.371	0.965
-152.519	0.999
-147.654	0.949
-142.801	0.920
-137.936	0.933
-133.044	0.898
-128.179	0.979
-123.326	1.033
-118.461	0.992
-113.608	0.908
-108.743	0.959
-103.891	0.969
-99.025	1.052
-94.173	1.050
-89.307	1.030
-84.455	1.021
-79.589	0.877
-74.737	0.922
-69.872	0.908
-65.019	1.068
-60.154	1.085
-55.288	0.956
-50.436	0.963
-45.570	1.008
-40.718	0.984
-35.852	0.861
-31.000	0.909
-26.135	0.891
-21.282	0.926
-16.417	0.875
-11.564	0.780
-6.699	0.566
-1.846	0.548
3.019	0.448
7.872	0.638
12.737	0.645
17.603	0.536
22.455	0.573
27.320	0.675
32.173	0.634
37.038	0.778
41.891	0.915
46.782	0.958
51.648	0.846
56.500	0.848
61.366	0.959
66.218	0.892
71.083	0.857
75.936	0.934
80.801	0.866
85.654	1.072
90.519	1.130
95.385	1.124
100.237	1.054
105.103	1.011
109.955	0.898
114.820	1.249
119.673	1.078
124.538	0.947
129.391	1.162
134.256	1.049
139.109	1.012
143.974	1.140
148.826	0.908
153.692	1.157
158.557	0.997
163.410	1.043
168.275	0.926
173.128	1.026
177.993	1.042
182.846	1.149
187.711	0.942
192.563	0.979
197.390	1.031
202.255	1.061
207.108	1.047
211.973	1.039
216.839	0.973
221.691	1.029
226.557	1.087
231.409	0.965
236.274	0.898
241.127	1.051
245.992	0.975
250.845	1.021

Si IV 1394 3-cloud model	
-249.804	1.000
-248.136	1.000
-246.468	1.000
-244.800	1.000
-243.132	1.000
-241.464	1.000
-239.796	1.000
-238.129	1.000
-236.462	1.000
-234.794	1.000
-233.126	1.000
-231.459	1.000
-229.791	1.000
-228.123	1.000
-226.456	1.000
-224.788	1.000
-223.120	1.000
-221.452	1.000
-219.785	1.000
-218.117	1.000
-216.451	1.000
-214.783	1.000
-213.116	1.000
-211.448	1.000
-209.781	1.000
-208.113	1.000
-206.446	1.000
-204.778	1.000
-203.111	1.000
-201.443	1.000
-199.776	1.000
-198.109	1.000
-196.441	1.000
-194.774	1.000
-193.108	1.000
-191.440	1.000
-189.773	1.000
-188.106	1.000
-186.439	1.000
-184.771	1.000
-183.104	1.000
-181.437	1.000
-179.770	1.000
-178.102	1.000
-176.435	1.000
-174.769	1.000
-173.102	1.000
-171.435	1.000
-169.768	1.000
-168.101	1.000
-166.434	1.000
-164.767	1.000
-163.100	1.000
-161.433	1.000
-159.766	1.000
-158.099	1.000
-156.432	1.000
-154.765	1.000
-153.100	1.000
-151.433	1.000
-149.766	1.000
-148.099	1.000
-146.432	1.000
-144.765	1.000
-143.099	1.000
-141.432	1.000
-139.765	1.000
-138.098	1.000
-136.432	1.000
-134.765	1.000
-133.098	1.000
-131.432	1.000
-129.766	1.000
-128.100	1.000
-126.433	1.000
-124.766	1.000
-123.100	1.000
-121.433	1.000
-119.767	1.000
-118.100	1.000
-116.434	1.000
-114.767	1.000
-113.101	1.000
-111.434	1.000
-109.769	1.000
-108.103	1.000
-106.437	1.000
-104.770	1.000
-103.104	1.000
-101.438	1.000
