Gender	Length	Width	Height
Male	93	74	37
Male	94	78	35
Male	96	80	35
Male	101	84	39
Male	102	85	38
Male	103	81	37
Male	104	83	39
Male	106	83	39
Male	107	82	38
Male	112	89	40
Male	113	88	40
Male	114	86	40
Male	116	90	43
Male	117	90	41
Male	117	91	41
Male	119	93	41
Male	120	89	40
Male	120	93	44
Male	121	95	42
Male	125	93	45
Male	127	96	45
Male	128	95	45
Male	131	95	46
Male	135	106	47
Female	98	81	38
Female	103	84	38
Female	103	86	42
Female	105	86	40
Female	109	88	44
Female	123	92	50
Female	123	95	46
Female	133	99	51
Female	133	102	51
Female	133	102	51
Female	134	100	48
Female	136	102	49
Female	137	98	51
Female	138	99	51
Female	141	105	53
Female	147	108	57
Female	149	107	55
Female	153	107	56
Female	155	115	63
Female	155	117	60
Female	158	115	62
Female	159	118	63
Female	162	124	61
Female	177	132	67
