Times	Manufacturer
620	A
103	A
218	A
403	A
399	A
548	A
317	A
32	A
1792	A
1585	A
537	A
164	A
1279	A
151	A
763	A
470	A
100	A
393	A
103	A
1274	A
381	A
85	A
421	A
47	A
253	A
101	A
16	A
356	A
24	A
555	A
260	A
39	A
106	A
69	A
32	A
203	A
1410	A
32	A
95	A
6	A
385	A
1267	A
751	A
689	A
14	A
89	A
460	A
158	A
158	A
12	A
871	A
250	A
343	A
76	A
860	A
176	A
352	A
500	A
1119	A
45	A
388	A
284	A
152	A
818	A
134	A
193	A
41	A
376	A
515	A
89	A
11	A
160	A
803	A
1733	A
776	A
242	A
1285	A
477	A
947	A
660	A
531	A
1101	A
1512	A
72	A
1055	A
565	A
195	A
560	A
2194	A
1	A
1747	B
20	B
1090	B
142	B
403	B
561	B
317	B
9	B
122	B
667	B
405	B
113	B
646	B
195	B
246	B
55	B
6	B
35	B
380	B
945	B
41	B
1868	B
892	B
860	B
348	B
304	B
256	B
27	B
761	B
998	B
25	B
575	B
1061	B
323	B
729	B
1566	B
181	B
609	B
12	B
35	B
294	B
1307	B
23	B
130	B
79	B
201	B
273	B
1096	B
1409	B
940	B
219	B
174	B
198	B
813	B
459	B
147	B
546	B
1453	B
69	B
96	B
310	B
406	B
13	B
1793	B
733	B
1231	B
43	B
61	B
28	B
303	B
377	B
234	B
1216	B
946	B
116	B
14	B
195	B
618	B
230	B
1054	B
230	B
536	B
510	B
182	B
44	B
278	B
848	B
304	B
388	B
39	B
1618	B
764	B
141	B
150	B
89	B
44	B
30	B
1935	B
250	B
12	B
660	B
289	B
87	B
407	B
41	B
38	B
10	B
308	B
539	B
794	B
19	B
