prize_year	category	gender	age
1901	Physics	Male	56.7068493150685
1901	Chemistry	Male	49.2794520547945
1901	Medicine	Male	47.7397260273973
1901	Peace	Male	73.5917808219178
1901	Peace	Male	79.5589041095890
1901	Literature	Male	62.7369863013699
1902	Physics	Male	49.3972602739726
1902	Physics	Male	37.5452054794521
1902	Chemistry	Male	50.1698630136986
1902	Medicine	Male	45.5780821917808
1902	Peace	Male	69.8054794520548
1902	Peace	Male	59.5561643835616
1902	Literature	Male	85.0273972602740
1903	Physics	Male	50.9863013698630
1903	Physics	Male	44.5710382513661
1903	Physics	Female	36.0901639344262
1903	Chemistry	Male	44.8054794520548
1903	Medicine	Male	42.9863013698630
1903	Peace	Male	75.7295081967213
1903	Literature	Male	71.0054644808743
1904	Physics	Male	62.0767123287671
1904	Chemistry	Male	52.1890410958904
1904	Medicine	Male	55.2383561643836
1904	Peace	NA	NA
1904	Literature	Male	74.2547945205479
1904	Literature	Male	72.6438356164384
1905	Physics	Male	43.5095890410959
1905	Chemistry	Male	70.1095890410959
1905	Medicine	Male	61.9972602739726
1905	Peace	Female	62.5041095890411
1905	Literature	Male	59.6000000000000
1906	Physics	Male	49.9780821917808
1906	Chemistry	Male	54.2000000000000
1906	Medicine	Male	63.4273972602740
1906	Medicine	Male	54.6109589041096
1906	Peace	Male	48.1205479452055
1906	Literature	Male	71.3726027397260
1907	Physics	Male	54.9753424657534
1907	Chemistry	Male	47.5573770491803
1907	Medicine	Male	62.4781420765027
1907	Peace	Male	74.2213114754098
1907	Peace	Male	64.5546448087432
1907	Literature	Male	41.9452054794521
1908	Physics	Male	63.3178082191781
1908	Chemistry	Male	37.2794520547945
1908	Medicine	Male	63.5726027397260
1908	Medicine	Male	54.7424657534247
1908	Peace	Male	64.1205479452055
1908	Peace	Male	71.6383561643836
1908	Literature	Male	62.9289617486339
1909	Physics	Male	35.6273972602740
1909	Physics	Male	59.5123287671233
1909	Chemistry	Male	56.2712328767123
1909	Medicine	Male	68.2931506849315
1909	Peace	Male	80.3753424657534
1909	Peace	Male	57.0493150684932
1909	Literature	Female	51.0547945205479
1910	Physics	Male	73.0465753424658
1910	Chemistry	Male	63.7068493150685
1910	Medicine	Male	57.2328767123288
1910	Peace	NA	NA
1910	Literature	Male	80.7397260273973
1911	Chemistry	Female	44.0901639344262
1911	Physics	Male	47.9068493150685
1911	Medicine	Male	49.5136612021858
1911	Peace	Male	73.6174863387978
1911	Peace	Male	47.0792349726776
1911	Literature	Male	49.2814207650273
1912	Physics	Male	43.0273972602740
1912	Chemistry	Male	41.5972602739726
1912	Chemistry	Male	58.0958904109589
1912	Medicine	Male	39.4520547945205
1912	Peace	Male	67.8169398907104
1912	Literature	Male	50.0684931506849
1913	Physics	Male	60.2191780821918
1913	Chemistry	Male	46.9945205479452
1913	Medicine	Male	63.2904109589041
1913	Peace	Male	59.6356164383562
1913	Literature	Male	52.5945205479452
1914	Physics	Male	35.1698630136986
1914	Chemistry	Male	46.8575342465753
1914	Medicine	Male	38.6356164383562
1915	Physics	Male	53.4398907103825
1915	Physics	Male	25.6939890710383
1915	Chemistry	Male	43.3251366120219
1915	Literature	Male	49.8630136986301
1916	Literature	Male	57.4301369863014
1917	Physics	Male	40.5095890410959
1917	Peace	NA	NA
1917	Literature	Male	60.5232876712329
1917	Literature	Male	60.3808219178082
1918	Physics	Male	60.6328767123288
1918	Chemistry	Male	50.0027397260274
1919	Physics	Male	45.6530054644809
1919	Medicine	Male	49.4918032786885
1919	Peace	Male	62.9506849315068
1919	Literature	Male	74.6284153005465
1920	Physics	Male	59.8169398907104
1920	Chemistry	Male	56.4602739726027
1920	Medicine	Male	46.0684931506849
1920	Peace	Male	69.5561643835617
1920	Literature	Male	61.3506849315068
1921	Physics	Male	42.7424657534247
1921	Chemistry	Male	44.2712328767123
1921	Peace	Male	61.0465753424658
1921	Peace	Male	52.2301369863014
1921	Literature	Male	77.6520547945206
1922	Physics	Male	37.1753424657534
1922	Chemistry	Male	45.2739726027397
1922	Medicine	Male	36.2054794520548
1922	Medicine	Male	38.6630136986301
1922	Peace	Male	61.1671232876712
1922	Literature	Male	56.3287671232877
1923	Physics	Male	55.7185792349727
1923	Chemistry	Male	54.2677595628415
1923	Medicine	Male	32.0710382513661
1923	Medicine	Male	47.2595628415301
1923	Literature	Male	58.4918032786885
1924	Physics	Male	38.0191780821918
1924	Medicine	Male	64.5561643835617
1924	Literature	Male	57.5945205479452
1925	Physics	Male	43.2904109589041
1925	Physics	Male	38.3863013698630
1925	Chemistry	Male	60.6931506849315
1925	Peace	Male	62.1506849315069
1925	Peace	Male	60.2876712328767
1925	Literature	Male	69.3753424657534
1926	Physics	Male	56.1945205479452
1926	Chemistry	Male	42.2794520547945
1926	Medicine	Male	59.6328767123288
1926	Peace	Male	64.7041095890411
1926	Peace	Male	48.5863013698630
1926	Literature	Female	55.2027397260274
1927	Physics	Male	35.2486338797814
1927	Physics	Male	58.8191780821918
1927	Chemistry	Male	50.5163934426229
1927	Medicine	Male	70.7595628415301
1927	Peace	Male	85.9726027397260
1927	Peace	Male	69.7158469945355
1927	Literature	Male	68.1448087431694
1928	Physics	Male	49.6246575342466
1928	Chemistry	Male	51.9590163934426
1928	Medicine	Male	62.2191780821918
1928	Literature	Female	46.5589041095890
1929	Physics	Male	37.3205479452055
1929	Chemistry	Male	64.1616438356164
1929	Chemistry	Male	56.8164383561644
1929	Medicine	Male	71.3315068493151
1929	Medicine	Male	68.4739726027397
1929	Peace	Male	72.9671232876712
1929	Literature	Male	54.5123287671233
1930	Physics	Male	42.0904109589041
1930	Chemistry	Male	49.3726027397260
1930	Medicine	Male	62.4904109589041
1930	Peace	Male	64.9013698630137
1930	Literature	Male	45.8383561643836
1931	Chemistry	Male	57.2868852459016
1931	Chemistry	Male	47.1639344262295
1931	Medicine	Male	48.1721311475410
1931	Peace	Female	71.2595628415301
1931	Peace	Male	69.6885245901639
1931	Literature	Male	67.3907103825137
1932	Physics	Male	31.0136986301370
1932	Chemistry	Male	51.8579234972678
1932	Medicine	Male	75.0356164383562
1932	Medicine	Male	43.0273972602740
1932	Literature	Male	65.3232876712329
1933	Physics	Male	46.3287671232877
1933	Physics	Male	31.3397260273973
1933	Medicine	Male	67.2082191780822
1933	Peace	Male	60.9561643835616
1933	Literature	Male	63.1342465753425
1934	Chemistry	Male	41.6164383561644
1934	Medicine	Male	56.2849315068493
1934	Medicine	Male	49.0219178082192
1934	Medicine	Male	42.8410958904110
1934	Peace	Male	71.2410958904110
1934	Literature	Male	67.4520547945205
1935	Physics	Male	44.1393442622951
1935	Chemistry	Male	35.7267759562842
1935	Chemistry	Female	38.2431693989071
1935	Medicine	Male	66.4535519125683
1935	Peace	Male	46.1857923497268
1936	Physics	Male	53.4630136986301
1936	Physics	Male	31.2684931506849
1936	Chemistry	Male	52.7150684931507
1936	Medicine	Male	61.5041095890411
1936	Medicine	Male	63.5205479452055
1936	Peace	Male	58.1068493150685
1936	Literature	Male	48.1506849315069
1937	Physics	Male	56.1342465753425
1937	Physics	Male	45.6054794520548
1937	Chemistry	Male	54.7287671232877
1937	Chemistry	Male	48.6383561643836
1937	Medicine	Male	44.2328767123288
1937	Peace	Male	73.2383561643836
1937	Literature	Male	56.7178082191781
1938	Physics	Male	37.1972602739726
1938	Chemistry	Male	38.0191780821918
1938	Medicine	Male	46.7041095890411
1938	Peace	NA	NA
1938	Literature	Female	46.4575342465753
1939	Physics	Male	38.3387978142077
1939	Chemistry	Male	36.7131147540984
1939	Chemistry	Male	52.2404371584699
1939	Medicine	Male	44.1120218579235
1939	Literature	Male	51.2322404371585
1943	Physics	Male	55.8109589041096
1943	Chemistry	Male	58.3579234972678
1943	Medicine	Male	48.8000000000000
1943	Medicine	Male	50.0737704918033
1944	Physics	Male	46.3671232876712
1944	Chemistry	Male	65.7589041095890
1944	Medicine	Male	70.9289617486339
1944	Medicine	Male	56.4328767123288
1944	Peace	NA	NA
1944	Literature	Male	71.8879781420765
1945	Physics	Male	45.6273972602740
1945	Chemistry	Male	50.9013698630137
1945	Medicine	Male	64.3452054794520
1945	Medicine	Male	39.4767123287671
1945	Medicine	Male	47.2109589041096
1945	Peace	Male	74.1890410958904
1945	Literature	Female	56.6767123287671
1946	Physics	Male	64.6383561643836
1946	Chemistry	Male	59.0575342465753
1946	Chemistry	Male	55.4328767123288
1946	Chemistry	Male	42.3178082191781
1946	Medicine	Male	55.9698630136986
1946	Peace	Female	79.9205479452055
1946	Peace	Male	81.5452054794521
1946	Literature	Male	69.4410958904110
1947	Physics	Male	55.2595628415301
