trt sample count
0 1 0
0 2 1
0 3 0
0 4 4
0 5 0
0 6 4
0 7 4
0 8 0
0 9 4
0 10 12
0 11 2
0 12 0
0 13 0
0 14 0
0 15 0
0 16 1
0 17 3
0 18 1
0 19 0
0 20 0
0 21 8
0 22 5
0 23 3
0 24 1
0 25 0
0 26 0
0 27 1
0 28 0
0 29 5
0 30 8
0 31 2
0 32 0
0 33 0
0 34 8
0 35 3
0 36 3
0 37 2
0 38 0
0 39 6
0 40 5
0 41 0
0 42 5
0 43 2
0 44 1
0 45 0
0 46 1
0 47 0
0 48 2
0 49 0
0 50 0
0 51 0
0 52 2
0 53 0
0 54 8
0 55 2
0 56 1
0 57 3
0 58 1
0 59 2
0 60 1
0 61 2
0 62 2
0 63 0
0 64 3
0 65 7
0 66 10
0 67 0
0 68 0
0 69 4
0 70 8
0 71 1
0 72 1
0 73 7
0 74 3
0 75 12
0 76 10
0 77 7
0 78 0
0 79 3
0 80 6
0 81 0
0 82 0
0 83 0
0 84 0
0 85 2
0 86 9
0 87 4
0 88 3
0 89 0
0 90 0
0 91 6
0 92 3
0 93 1
0 94 0
0 95 7
0 96 1
0 97 0
0 98 2
0 99 0
0 100 0
0 101 4
0 102 0
0 103 1
0 104 1
0 105 7
0 106 0
0 107 6
0 108 6
0 109 1
0 110 9
0 111 0
0 112 10
0 113 3
0 114 0
0 115 9
0 116 0
0 117 0
0 118 6
0 119 1
0 120 3
0 121 12
0 122 0
0 123 0
0 124 12
0 125 0
0 126 0
0 127 2
0 128 1
0 129 0
0 130 2
0 131 4
0 132 4
0 133 0
0 134 0
0 135 8
0 136 0
0 137 0
0 138 0
0 139 1
0 140 9
0 141 0
0 142 0
0 143 12
0 144 8
0 145 0
0 146 0
0 147 0
0 148 1
0 149 10
0 150 0
0 151 1
0 152 18
0 153 0
0 154 0
0 155 0
0 156 0
0 157 0
0 158 8
0 159 1
0 160 0
0 161 0
0 162 16
0 163 0
0 164 5
0 165 0
0 166 0
0 167 0
0 168 2
0 169 1
0 170 0
0 171 7
0 172 0
0 173 8
0 174 5
0 175 0
0 176 2
0 177 2
0 178 1
0 179 0
0 180 1
0 181 1
0 182 1
0 183 2
0 184 6
0 185 0
0 186 0
0 187 0
0 188 0
0 189 0
0 190 1
0 191 3
0 192 2
0 193 1
0 194 0
0 195 3
0 196 1
0 197 2
0 198 1
0 199 1
0 200 2
0 201 4
0 202 7
0 203 5
0 204 1
0 205 0
0 206 0
0 207 0
0 208 4
0 209 8
0 210 10
0 211 3
0 212 3
0 213 6
0 214 0
0 215 0
0 216 6
0 217 3
0 218 5
0 219 5
0 220 1
0 221 3
0 222 9
0 223 8
0 224 0
0 225 0
0 226 0
0 227 3
0 228 0
0 229 0
0 230 8
0 231 0
0 232 0
0 233 0
0 234 1
0 235 3
0 236 0
0 237 0
0 238 0
0 239 1
0 240 10
0 241 3
0 242 3
0 243 0
0 244 0
0 245 0
0 246 0
0 247 0
0 248 3
0 249 0
0 250 7
0 251 0
0 252 0
0 253 9
0 254 1
0 255 3
0 256 2
0 257 0
0 258 1
0 259 0
0 260 2
0 261 4
0 262 0
0 263 1
0 264 5
0 265 5
0 266 11
0 267 20
0 268 7
0 269 2
0 270 0
0 271 0
0 272 6
0 273 1
0 274 0
1 1 0
1 2 0
1 3 4
1 4 0
1 5 0
1 6 4
1 7 0
1 8 0
1 9 0
1 10 0
1 11 1
1 12 3
1 13 1
1 14 0
1 15 0
1 16 0
1 17 0
1 18 0
1 19 0
1 20 2
1 21 1
1 22 0
1 23 0
