"Subject" "Time" "RT"
"2" 1 35755
"7" 1 96295
"13" 1 83361
"15" 1 22370
"17" 1 101482
"19" 1 49553
"20" 1 123075
"22" 1 119398
"26" 1 126490
"32" 1 33336
"34" 1 142008
"35" 1 90458
"37" 1 103819
"38" 1 92457
"39" 1 130864
"40" 1 112874
"41" 1 84835
"43" 1 59694
"44" 1 58852
"45" 1 94304
"47" 1 104064
"48" 1 22181
"49" 1 55553
"51" 1 51743
"52" 1 48450
"53" 1 42802
"54" 1 16749
"55" 1 18416
"56" 1 91943
"57" 1 14381
"58" 1 83338
"59" 1 36469
"60" 1 31303
"62" 1 42151
"64" 1 106762
"66" 1 93572
"68" 1 129718
"69" 1 106890
"70" 1 73710
"71" 1 20368
"72" 1 112434
"74" 1 92933
"77" 1 50988
"78" 1 94260
"81" 1 45066
"83" 1 82748
"84" 1 65362
"87" 1 36341
"91" 1 39995
"93" 1 51829
"94" 1 29618
"95" 1 75160
"96" 1 48210
"97" 1 29483
"99" 1 93397
"100" 1 94202
"102" 1 19357
"103" 1 71079
"105" 1 14211
"107" 1 49263
"108" 1 17824
"110" 1 126460
"111" 1 9848
"116" 1 23969
"119" 1 96383
"120" 1 93026
"121" 1 101508
"123" 1 27987
"124" 1 28523
"125" 1 102528
"127" 1 11326
"129" 1 70360
"131" 1 59762
"132" 1 159105
"133" 1 115359
"135" 1 6645
"136" 1 82433
"137" 1 109812
"140" 1 48333
"141" 1 56637
"142" 1 183850
"143" 1 72558
"144" 1 94577
"146" 1 121152
"148" 1 182413
"150" 1 118513
"153" 1 48649
"154" 1 69996
"155" 1 118116
"156" 1 30444
"157" 1 184169
"158" 1 41728
"159" 1 106475
"160" 1 45224
"162" 1 70669
"163" 1 86205
"168" 1 30436
"169" 1 117687
"2" 2 33007
"7" 2 22210
"13" 2 28160
"15" 2 11827
"17" 2 23258
"19" 2 35986
"20" 2 86573
"22" 2 122558
"26" 2 32756
"32" 2 21602
"34" 2 78045
"35" 2 38383
"37" 2 80946
"38" 2 88390
"39" 2 103910
"40" 2 4886
"41" 2 22308
"43" 2 57906
"44" 2 72764
"45" 2 45440
"47" 2 63551
"48" 2 7893
"49" 2 9067
"51" 2 36726
"52" 2 68864
"53" 2 9520
"54" 2 16320
"55" 2 64466
"56" 2 23972
"57" 2 9640
"58" 2 95366
"59" 2 10334
"60" 2 11983
"62" 2 37206
"64" 2 179696
"66" 2 14828
"68" 2 90733
"69" 2 6556
"70" 2 43144
"71" 2 16214
"72" 2 61259
"74" 2 8846
"77" 2 87387
"78" 2 23907
"81" 2 6096
"83" 2 25801
"84" 2 13574
"87" 2 51472
"91" 2 8408
