Genotype	Tray	Seedling	SeedlingWeight
1	1	1	8
1	1	2	9
1	1	3	11
1	1	4	12
1	1	5	10
1	2	1	17
1	2	2	17
1	2	3	16
1	2	4	15
1	2	5	19
1	2	6	18
1	2	7	18
1	2	8	18
1	2	9	24
1	3	1	12
1	3	2	12
1	3	3	16
1	3	4	15
1	3	5	15
1	3	6	14
1	4	1	17
1	4	2	20
1	4	3	20
1	4	4	19
1	4	5	19
1	4	6	18
1	4	7	20
1	4	8	19
1	4	9	19
2	5	1	9
2	5	2	12
2	5	3	13
2	5	4	16
2	5	5	14
2	5	6	14
2	6	1	10
2	6	2	10
2	6	3	9
2	6	4	8
2	6	5	13
2	6	6	9
2	6	7	11
2	7	1	12
2	7	2	16
2	7	3	17
2	7	4	15
2	7	5	15
2	7	6	15
2	8	1	9
2	8	2	6
2	8	3	8
2	8	4	8
2	8	5	13
2	8	6	9
2	8	7	9
2	8	8	10
