count,county_fips,hhpop,horate,medhhincome,AdjCount,UnadjCount
1,01001,20237.133,0.746082313,52200,0,0
2,01003,72269,0.732596272,53600,0,0
3,01005,10286.984,0.587302167,32400,0,0
4,01007,8197.529,0.686658382,26000,0,0
5,01009,21093.589,0.83194088,53000,0,0
6,01011,4103.85,0.587302167,32400,0,0
7,01013,7858.818,0.685691283,37900,0,0
8,01015,44323,0.69557566,42880,0,0
9,01017,12987.099,0.728431038,37300,0,0
10,01019,10180.89,0.713358262,37800,0,0
11,01021,16569.747,0.728431038,37300,0,0
12,01023,4953.014,0.68967138,34460,0,0
13,01025,9191.16,0.68967138,34460,0,0
14,01027,5467.515,0.713358262,37800,0,0
15,01029,5907.43,0.713358262,37800,0,0
16,01031,18750.864,0.685691283,37900,0,0
17,01033,21953.144,0.690058791,40000,0,0
18,01035,4697.704,0.68967138,34460,0,0
19,01037,4378.792,0.728431038,37300,0,0
20,01039,14155.064,0.685691283,37900,0,0
21,01041,5193.254,0.685691283,37900,0,0
22,01043,30277.325,0.766130462,38000,8,8
23,01045,18845.296,0.671762492,43000,0,0
24,01047,15707.84,0.686658382,26000,0,0
25,01049,27343.316,0.676526578,39000,8,8
26,01051,29399.874,0.746082313,52200,0,0
27,01053,13633.554,0.68967138,34460,0,0
28,01055,39332,0.757881623,43000,0,0
29,01057,6647.588,0.733989832,35000,0,0
30,01059,12780.94,0.690058791,40000,0,0
31,01061,10045.936,0.671762492,43000,0,0
32,01063,3239.742,0.686658382,26000,0,0
33,01065,5645.005,0.686658382,26000,0,0
34,01067,6452.864,0.671762492,43000,0,0
35,01069,37983.904,0.671762492,43000,0,0
36,01071,20459.684,0.676526578,39000,0,0
37,01073,264781,0.628776234,47600,0,0
38,01075,5617.68,0.733989832,35000,0,0
39,01077,37365.454,0.690058791,40000,0,0
40,01079,13535.208,0.729059576,45000,0,0
41,01081,58191,0.586740218,48900,0,0
42,01083,32125.3,0.79843961,60000,0,0
43,01085,4152.897,0.746082313,52200,0,0
44,01087,8043.546,0.587302167,32400,0,0
45,01089,139656.5,0.655886679,56000,0,0
46,01091,7559.398,0.686658382,26000,0,0
47,01093,11958.676,0.722390004,35800,0,0
48,01095,34741.2,0.767533937,46700,1,2
49,01097,152938,0.650727746,40600,0,0
50,01099,8220.982,0.68967138,34460,0,0
51,01101,90589.096,0.565336296,40000,0,0
52,01103,47160.792,0.729059576,45000,0,0
53,01105,3779.699,0.686658382,26000,0,0
54,01107,7093.27,0.814507272,54000,0,0
55,01109,12366.268,0.587302167,32400,0,0
56,01111,8986.835,0.713358262,37800,0,0
57,01113,19862.634,0.587302167,32400,0,0
58,01115,30733.411,0.83194088,53000,0,0
