 metabolite_name	17Dec15_P104N24	17Dec18_2P147	17Dec19_1exo	17Dec12_17exo	17Dec15_13exo	17Dec20_P95N19	17Dec15_P29N6	17Dec12_P83	17Dec15_P193	17Dec08_26exo	17Dec22_24exo	17Dec08_P110N29	17Dec20_UK001N	17Dec18_P162N42	17Dec18_25exo	17Dec22_8exo	17Dec19_15P169(28)	17Dec08_9exo	17Dec18_44exo	17Dec08_P145	17Dec18_P136N38	17Dec19_21exo	17Dec08_P31	17Dec18_3exo	17Dec15_35exo	17Dec15_39exo	17Dec22_P209N50	17Dec15_P126N33	17Dec22_14exo	17Dec18_P101N22	17Dec08_P134	17Dec15_23exo	17Dec12_P97(48)	17Dec15_40exo	17Dec18_P28N5	17Dec19_P37N12	17Dec11_P128	17Dec15_P36N11	17Dec11_18exo	17Dec18_P127N34	17Dec11_22exo	17Dec19_P82	17Dec20_P123	17Dec22_P89	17Dec18_50exo	17Dec11_10P66(25)	17Dec18_33exo	17Dec18_17P64(23)	17Dec12_5exo	17Dec08_P90	17Dec08_P125	17Dec15_2P58(19)	17Dec22_7exo	17Dec18_28exo	17Dec15_P92(46)	17Dec11_P88N15	17Dec22_29exo	17Dec18_P132(61)	17Dec15_36exo	17Dec20_P109N28	17Dec22_P32N7	17Dec20_47exo	17Dec11_48exo	17Dec19_41exo	17Dec22_5P73(31)	17Dec11_27exo	17Dec15_34exo	17Dec12_P94N18	17Dec19_32exo	17Dec20_45exo	17Dec22_11exo	17Dec08_P98	17Dec18_49exo	17Dec18_10exo	17Dec11_UK012	17Dec22_P81	17Dec20_P103	17Dec22_P35N10	17Dec22_P91N17	17Dec18_6exo	17Dec19_P192N49	17Dec20_30exo	17Dec12_8P76	17Dec15_2exo	17Dec22_P135N37	17Dec22_15exo	17Dec12_4exo	17Dec22_42exo	17Dec12_P108N27	17Dec18_UK009	17Dec11_P99N21	17Dec08_19exo	17Dec15_51exo	17Dec15_P164N44	17Dec15_43exo
FA(12:1)+13C0[+H]	43651.96966	68547.41518	67011.1007	27164.65652	49194.70273	48175.3704	34066.97717	48397.70077	36449.60176	39058.18781	83571.75769	53734.92969	41928.65724	46086.17142	79946.09084	110335.8396	82901.33872	74283.54533	82962.07975	42471.87412	89717.35126	67757.0018	65714.24805	76801.91852	41356.80914	51998.41016	125810.4205	39206.60942	81363.34993	55951.00357	0	0	37827.27623	61399.24501	82552.30512	71010.01453	57381.10604	46924.94511	54920.03344	61507.40327	68352.16414	79126.0271	58057.63022	144446.7768	53851.83382	62872.57037	59665.82447	79800.60535	42281.07196	48391.28385	65313.8147	46663.30493	127756.7458	70304.54557	44666.68953	57301.48915	93395.3531	60547.72987	36540.89069	56804.65562	125471.1043	48935.15313	41067.66604	95494.46834	74394.24238	60280.5656	47746.49903	36807.16368	95691.15906	52855.94479	147964.8008	60512.67892	50559.84757	58823.12546	52217.86949	149136.9567	62740.01748	131478.0098	124351.8301	59702.50023	70937.99847	47076.54798	43945.66507	35141.68129	128618.9057	106745.8083	56793.37377	142688.4388	30752.70767	81862.63433	63895.34014	64689.1851	45115.59501	48113.3317	38549.84594
FA(11:1)+13C0[+NH4]	136640.0426	68179.33746	638149.6226	672939.2315	143165.0767	79195.53399	87099.45561	2694225.583	109127.4114	2324965.522	121656.1228	4265978.045	59712.54427	249862.8988	84786.16404	50169.75917	75260.7047	1104663.601	80992.97737	2657640.893	182247.1356	253485.4512	1314173.872	74603.89722	78519.00983	174043.7155	113066.5914	81034.93731	186284.53	60203.49614	3320027.13	156025.6675	2131061.422	110814.2769	77899.92102	76661.21469	1511849.935	84148.55521	1122999.047	102611.7374	3631737.51	84108.03337	69540.03063	79983.07707	78472.69785	3172557.823	133497.817	121648.2113	2914624.284	1968730.28	793046.7884	89007.97666	131218.8792	104017.8276	65233.17672	3451475.651	120101.438	353009.2675	186132.2116	56210.55564	80446.75619	122353.0289	630835.549	193479.4569	112070.4213	3452857	270159.185	2103136.722	97398.79931	122338.9464	62004.9435	1386753.268	114594.3843	69061.75702	835693.8228	105423.8248	146108.2972	104556.5018	98802.70844	198901.3149	80167.45041	70955.10814	1288448.53	83621.9408	113347.3128	1508525.774	1348823.413	73657.25025	2662683.738	117885.6114	2716196.243	855109.4389	95556.93734	88922.74268	111292.4062
FA(14:0)+13C0[+H]	29363.11352	16807.55844	0	18349.83986	18325.60596	12984.6801	20236.60246	32344.9287	15319.12342	0	0	0	10671.73923	11420.61866	23541.30776	0	11537.93009	33904.57223	17804.89396	0	18084.96361	15345.4728	0	23966.44686	15506.7066	25741.82639	0	17266.07163	0	13785.85837	0	98359.42779	23215.97228	32438.88798	17303.0262	0	0	18545.96775	22999.24927	14521.20532	0	13734.34965	17647.55137	12825.32219	13871.61219	0	13710.71178	19060.35323	22283.90432	0	0	20455.62833	12021.82763	13828.06121	21086.11722	0	0	12390.65519	16666.30643	23244.32891	10549.83582	13125.99452	23657.66519	14899.82938	0	0	18550.88305	0	14116.24934	17075.37311	11578.70228	0	14612.88143	15377.30358	24469.21301	11213.49187	18828.91901	0	0	13724.66766	0	12392.6378	37429.87187	15585.56375	0	0	41152.86242	12333.28892	0	20623.68126	0	37671.63195	0	0	15368.07888
FA(14:2)+13C0[+NH4]	34503.6847	0	16638.1894	0	94550.9716	0	22746.12182	87379.4205	103155.1815	0	18037.14826	0	0	27381.37469	29596.85302	0	0	111564.6491	24969.9965	0	40021.04587	15340.2151	70291.8517	24232.03992	58005.38695	172790.6622	22788.93419	40507.3727	23947.78141	11495.75464	0	0	0	46384.88102	22995.47618	0	0	25674.91826	0	12019.89067	0	0	0	0	34108.79461	42150.46938	35909.85748	29650.59496	0	37958.31115	38984.32932	89253.86512	0	28240.09973	21981.83425	0	20157.31641	55663.29202	80711.84027	0	0	0	19338.84838	14532.28374	17791.45814	0	224144.3193	0	12718.34584	0	0	0	40172.67724	11800.26855	27699.39958	0	0	31402.24802	25329.35014	0	0	0	48165.38526	34426.10128	0	23853.79784	61252.29248	0	24802.42567	35491.4324	0	38242.53034	40253.10447	28587.42023	42059.43516
FA(14:1)+13C0 [+Na]	28877.55872	0	0	25341.21443	0	0	29445.05044	31611.03525	0	45717.75067	0	160404.7819	0	0	0	0	0	116485.8282	0	85966.87664	0	0	63394.37365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134867.5999	0	0	0	0	63417.66596	0	0	0	120328.8038	69525.71277	0	0	0	0	110246.089	0	0	0	0	0	0	18762.41938	0	0	192257.5107	0	0	0	0	0	73121.6421	0	0	28601.98236	0	0	0	0	0	0	0	0	0	0	0	50681.68164	11529.83235	0	0	37362.86893	72200.9878	0	0	0
FA(16:3)+13C0[+H]	115356.1735	14084.99897	16757.78038	78464.92629	101485.8556	22919.11946	88777.67074	362377.8627	55584.37478	205299.208	14266.04343	429439.3766	12110.73597	12693.56599	16706.04012	11843.82835	14131.55937	242250.3339	14842.93251	293158.5445	17468.0414	16565.78423	488941.0328	17838.43793	83191.85069	119077.9722	17372.14477	67382.17193	17354.38588	14047.96255	197966.4797	0	185014.4498	126100.0098	16610.57888	17608.19619	47339.00536	109320.4842	53957.76876	14632.19391	44398.88852	17062.34814	16443.83634	15036.93506	13910.79434	54670.23487	16568.91293	18333.96588	231897.5572	371552.5643	544544.4528	88353.44302	18397.5694	16486.99901	66362.632	46711.15635	15556.4175	14332.20488	92071.70536	19237.06978	13231.22669	21634.3206	25355.57042	14939.66189	17899.79983	50942.58758	48246.4315	191137.2298	20961.78696	17720.3662	14009.56497	470591.7873	19192.89404	17286.19184	34234.4338	13678.141	19807.79392	14372.55736	18033.29671	15791.79215	17491.43914	20181.45003	197921.7686	78306.4007	14146.94651	16531.08321	323077.9833	14578.83174	179665.4204	23318.91252	47987.14449	640883.5003	92125.22024	98179.05033	92052.56153
FA(16:0)+13C0[+H]	51569.92749	27598.38446	22021.92811	34507.38734	36341.76887	27898.44046	37648.50289	60471.96692	27495.88039	57941.67445	21983.06346	70924.7611	23375.53852	20131.06512	27149.64826	17026.77309	22035.11663	82785.60148	27673.49703	67490.88501	30931.69873	28706.12073	95526.33367	32266.76255	31787.92289	49465.63327	19432.74159	27432.79554	21037.45836	22315.88992	0	118346.9569	43357.23105	54073.20452	26318.77361	23512.30948	66186.78091	33575.67411	67910.29881	23249.3128	59149.00882	26250.53486	28558.52152	21717.17315	21175.62225	65142.4983	21184.21563	37121.06187	51386.24015	65944.39115	89070.73332	40554.01181	20183.08586	20102.74432	46309.58922	51901.48913	20689.88517	16802.83558	27842.26542	30015.16535	17962.45405	27182.60713	80701.50915	28176.47813	27293.57616	58694.47286	38445.79207	45023.71195	28894.99857	29275.42597	20422.54406	78613.94733	22559.13263	23813.26668	60775.17773	20362.24388	32058.45443	18312.02357	21689.90202	21824.82381	39202.94911	26629.88397	57840.79139	30810.04494	16012.74125	18719.02332	73367.16126	22845.72553	38941.50428	35006.72762	63365.52273	94847.81319	39743.96223	31804.18357	28527.90572
FA(17:3)+13C0[+H]	33433.62877	9313.702087	18369.37281	0	29211.41646	15043.62127	28964.53809	0	0	0	0	0	0	0	13872.80164	0	12008.81336	0	0	0	16064.63663	14429.78166	0	0	19509.75458	35680.27112	16563.90264	16855.39436	20558.7053	12793.91712	0	0	0	51818.17073	12686.84259	16973.05681	0	25862.37744	29576.98914	0	0	15881.96308	0	17651.62867	0	0	14117.89126	14469.70078	0	43562.94142	0	0	27042.04775	0	18530.39702	0	0	11266.87169	25329.03266	16482.74393	11694.06915	14929.99224	0	0	21726.37519	0	31251.39565	0	22576.65632	0	13284.82459	51239.63189	0	15487.4377	23867.28872	14794.95956	15499.82951	12111.61899	19037.54759	15366.07213	17010.303	0	0	0	17395.63609	0	30299.53133	15577.14349	0	0	0	67123.30926	0	0	22131.9373
FA(17:0)+13C0[+H]	28703.99106	10840.84902	0	24475.9901	27194.5993	15108.83164	23133.99636	43622.36352	20668.45588	39018.42695	0	44892.67227	12213.78333	0	12222.46855	0	9660.381556	50748.30384	11266.02225	41031.43914	0	12328.20751	60445.51216	0	21784.91201	29730.46045	0	19252.24088	0	0	0	54621.05181	32052.61477	32258.56866	10360.0462	0	0	23037.7835	25090.03959	10014.68002	0	0	14994.21939	0	0	0	0	11651.79527	39720.78291	39022.35963	51308.48617	27659.78779	0	0	23373.84669	0	0	0	21795.93797	17989.02784	0	14804.5835	23754.56956	0	0	0	27297.05045	32173.89039	12716.37128	13975.56261	0	50943.44408	0	10244.31067	20600.50886	0	15291.51591	0	0	0	0	14956.42625	37804.2541	20612.69439	0	0	45300.98133	0	29081.50659	0	0	53496.24097	0	0	20034.23027
FA(16:1)+13C0[+NH4]	127717.5538	47152.97346	94211.24442	46667.16853	75829.37038	70589.95557	62576.7273	95198.90328	57921.58904	584192.438	73612.4292	440166.9368	40037.86808	39503.74124	128396.3264	99033.03742	69837.23622	565261.9339	84651.88682	390535.4777	66593.39548	99556.57044	541628.8125	250060.0009	97527.04141	112489.9784	149414.3652	74891.55863	120818.0904	48162.37273	1621643.325	495010.6502	75715.34538	249392.7517	97283.97487	90867.08375	279285.1388	97066.03112	168044.4468	75106.82707	326888.5124	108052.3147	68204.02892	105273.3713	88669.57876	194179.4336	76409.0188	74058.48847	87969.25411	340988.7808	594758.3517	91935.19352	94768.3319	83741.93169	65027.22631	542528.2438	82476.83652	54033.29226	51530.52065	66368.15743	66984.60647	110620.0361	227535.3976	99801.70299	144579.7098	208398.9004	82747.50379	105831.7336	124608.724	47176.69243	81404.99626	446556.5586	193103.0888	63263.02435	184489.0719	111179.9074	67910.21381	144348.8749	167232.6357	54113.76225	70675.75203	77977.38982	107865.8708	87994.84128	43666.20299	78519.04258	108319.9437	72685.57309	44588.09022	79064.58511	325310.5382	430393.6161	86546.3528	92725.89699	81642.47117
