GRS	STS	TGS	WTS	SES	TNS	GHH	SBS	WSH	UBT	ASS	SLE	UWS	GRA	SNS	SWG	LES	BUL	AWS	UHH	SPS	PES	BTS	SoakTime	Lat	Lon	DistReef	HardCoral	Zoning	Days
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	-19.2373	147.3042	13.98620689	0	Pre_zoning	-284
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.4	-14.68789	145.5357667	1.423228556	10	Pre_zoning	-270
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	159.91666	-16.47659333	145.6835333	3.214252812	0	Pre_zoning	-266
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.43333	-16.60323333	145.8208	7.115581279	0	Pre_zoning	-273
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.16667	-16.36310667	145.5042	5.916050084	0	Pre_zoning	-266
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233.54999	-15.77543	145.525425	1.439195973	15	Pre_zoning	-272
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.69999	-16.34500667	145.5845333	3.887870949	0	Pre_zoning	-266
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	175.26667	-15.33574	145.4843333	4.502661788	0	Pre_zoning	-271
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.76666	-17.29387	146.0619667	7.520371244	0	Pre_zoning	-265
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.11667	-16.98267	145.9359333	2.955869779	0	Pre_zoning	-265
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.6	-18.53526	146.5653667	7.661428292	0	Pre_zoning	-264
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.80001	-15.32782	145.7592	0.583301757	0	Pre_zoning	-268
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.8	-15.40456333	145.5811333	3.01628331	0	Pre_zoning	-268
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.26667	-15.69958	145.7827333	2.090246274	0	Pre_zoning	-272
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.51667	-15.24265667	145.3716333	4.149778808	0	Pre_zoning	-271
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.55	-16.42185667	145.4253333	0.416872917	0	Pre_zoning	-266
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.63334	-15.91829667	145.6667333	0.359552	0	Pre_zoning	-272
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.63333	-15.32651667	145.4263	7.335113417	0	Pre_zoning	-271
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.28333	-16.80649667	146.091	6.055339474	0	Pre_zoning	-275
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.45	-16.55686	145.8753333	1.409546751	0	Pre_zoning	-273
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.46667	-17.14675667	146.2015333	5.396916709	0	Pre_zoning	-276
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.03333	-19.01458667	146.7052333	2.402892911	0	Pre_zoning	-281
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249.15	-18.95523	146.8975	16.66696693	0	Pre_zoning	-287
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.43333	-14.61228333	145.2225	4.867248235	0	Pre_zoning	-269
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.26667	-14.84112333	145.5276667	0.832374043	16.66666667	Pre_zoning	-269
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.28334	-14.61348333	145.1538	5.520307276	0	Pre_zoning	-269
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.75001	-14.6657	145.2419	0.854454355	0	Pre_zoning	-269
0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.98333	-14.48525333	145.1379667	0.67057897	0	Post_zoning	223
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.19999	-15.7051	145.7026667	4.781877226	0	Pre_zoning	-267
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.73334	-15.03537667	145.4804667	3.378606796	0	Pre_zoning	-271
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	187.58334	-18.01643333	146.7831333	0.510103175	0	Pre_zoning	-279
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.28332	-15.96619667	145.7659667	3.892458553	0	Pre_zoning	-272
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.15	-18.927765	147.8503	2.674968732	0	Pre_zoning	-285
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.28332	-18.07544667	146.9480333	4.891502749	0	Pre_zoning	-279
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.31667	-17.01383667	145.9631667	6.689491064	0	Pre_zoning	-265
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.88333	-17.13365333	145.9837	2.91906209	0	Pre_zoning	-265
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.55	-17.08524333	145.9842667	7.598795778	0	Pre_zoning	-265
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.01667	-17.24788333	146.6171	0.699341836	30	Pre_zoning	-277
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.48334	-12.05864333	143.6474667	0	0	Post_zoning	219
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.43333	-19.39680667	149.4505	4.692773167	0	Post_zoning	71
0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.98333	-18.93308	148.1749333	5.152086652	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.35	-19.36425667	149.1826	0	6.666666667	Post_zoning	72
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	-19.06573333	147.9723	3.697743162	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.51667	-18.70152667	146.8040667	12.68581608	0	Pre_zoning	-57
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.85001	-18.83586667	148.0532667	1.521671461	0	Post_zoning	70
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.06667	-14.51918667	145.4453	5.813773101	0	Post_zoning	199
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.45001	-21.3949	152.6329	3.95785478	0	Post_zoning	508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.98334	-21.30660333	152.6836333	6.442902674	0	Post_zoning	508
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.51667	-18.88663	148.3977333	0.201482321	50	Pre_zoning	-219
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.3	-17.99091	146.5057667	3.619796258	0	Pre_zoning	-63
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.6	-18.1146	146.9328	3.348300725	0	Pre_zoning	-63
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.61666	-21.89542667	150.0737667	3.592288831	0	Pre_zoning	-211
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.05	-20.53742667	150.3353333	3.909240403	20	Pre_zoning	-209
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.96667	-21.73557	149.9896667	9.565294577	0	Pre_zoning	-211
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.86667	-19.953445	149.80775	1.1944492	25	Post_zoning	76
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.3	-15.04756	145.3363667	5.769260631	10	Post_zoning	207
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	187.45	-22.11400333	150.9275667	25.93268103	0	Pre_zoning	-50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.83333	-22.19496667	150.9277667	26.23250254	0	Pre_zoning	-50
0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	156.73333	-11.23913667	143.1962333	4.272033609	0	Post_zoning	217
0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	173.96667	-13.85414	143.8015667	2.361755734	0	Post_zoning	208
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185.91667	-16.50513667	145.6355	8.718782448	0	Post_zoning	197
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	161.08333	-13.62147333	143.8972667	0.571195109	0	Post_zoning	222
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.55	-21.08577333	150.9351	1.702522197	0	Post_zoning	485
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.61667	-21.23622	150.9443333	0.875510282	0	Post_zoning	484
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.26667	-21.01902	151.0332667	4.23411319	0	Pre_zoning	-36
0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.66667	-21.25622667	152.3845333	1.839995387	0	Post_zoning	509
0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.63334	-21.06225667	151.1772333	2.971519342	0	Post_zoning	485
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150.66666	-21.39474667	152.4377333	1.262314123	0	Post_zoning	508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186.11667	-21.34819667	152.3303333	0	3.333333333	Post_zoning	507
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	186.96666	-19.09568	148.1526667	3.587927906	0	Pre_zoning	-217
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.88334	-19.62439	148.1378667	20.2102871	0	Post_zoning	515
